NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	44	1.1072791814804077	0.041423157	No	
row_1	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	127	0.7750371694564819	0.02932384	No	
row_2	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	159	0.6817842125892639	0.05169293	No	
row_3	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	202	0.5633208155632019	0.05702407	No	
row_4	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	267	0.46598249673843384	0.03795301	No	
row_5	USP14	ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]	377	0.3774634599685669	-0.023368124	No	
row_6	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	559	0.28761300444602966	-0.14870094	No	
row_7	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	590	0.27648863196372986	-0.1536169	No	
row_8	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	639	0.2610135078430176	-0.17405154	No	
row_9	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	641	0.2604807913303375	-0.15680239	No	
row_10	MSRB1	methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	733	-0.265752911567688	-0.211419	No	
row_11	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	784	-0.28793269395828247	-0.23159324	No	
row_12	HNF4A	hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]	785	-0.2879781723022461	-0.2116359	No	
row_13	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	786	-0.28831806778907776	-0.19165501	No	
row_14	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	815	-0.3013344407081604	-0.19324398	No	
row_15	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	907	-0.3589349091053009	-0.24140294	No	
row_16	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]	934	-0.3914426863193512	-0.23514213	No	
row_17	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	953	-0.4010045826435089	-0.22179812	No	
row_18	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	1027	-0.47551482915878296	-0.24743168	Yes	
row_19	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1054	-0.5112994313240051	-0.23286462	Yes	
row_20	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	1094	-0.5947034955024719	-0.2229509	Yes	
row_21	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	1132	-0.7100363969802856	-0.20343931	Yes	
row_22	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1190	-0.9277964234352112	-0.18488796	Yes	
row_23	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	1227	-1.2123370170593262	-0.12976359	Yes	
row_24	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	1262	-2.3588438034057617	0.006420607	Yes	
