NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	33	1.197103500366211	0.031832516	No	
row_1	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	75	0.9802417159080505	0.046570905	No	
row_2	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	132	0.7549067735671997	0.03812796	No	
row_3	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	144	0.730023205280304	0.064934224	No	
row_4	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	198	0.5744749307632446	0.05009379	No	
row_5	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	233	0.5315284132957458	0.04854904	No	
row_6	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	237	0.5184088349342346	0.0714839	No	
row_7	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	266	0.4659968614578247	0.07159491	No	
row_8	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	280	0.4493042826652527	0.08304472	No	
row_9	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	366	0.3850211501121521	0.0330023	No	
row_10	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	373	0.381974995136261	0.04683027	No	
row_11	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	435	0.34146013855934143	0.014105332	No	
row_12	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	504	0.30857327580451965	-0.025901385	No	
row_13	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	512	0.3048292398452759	-0.016658561	No	
row_14	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	628	0.26435190439224243	-0.09691657	No	
row_15	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	650	0.25917306542396545	-0.10125294	No	
row_16	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	663	0.2558106780052185	-0.09846048	No	
row_17	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	759	-0.2727239429950714	-0.16210139	No	
row_18	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	784	-0.28793269395828247	-0.16746166	No	
row_19	FRK	fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]	793	-0.2914828658103943	-0.15968226	No	
row_20	MOCS2	molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]	805	-0.2967114746570587	-0.15407813	No	
row_21	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	869	-0.3360442817211151	-0.18868881	No	
row_22	FAM102A	family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]	876	-0.3406829237937927	-0.17688127	No	
row_23	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	892	-0.34963467717170715	-0.17192908	No	
row_24	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	900	-0.35513100028038025	-0.16022497	No	
row_25	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	946	-0.39706653356552124	-0.1772631	No	
row_26	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	959	-0.4027065932750702	-0.16728295	No	
row_27	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	1061	-0.5205377340316772	-0.22366045	Yes	
row_28	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	1085	-0.5618507266044617	-0.21480742	Yes	
row_29	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	1088	-0.5756403207778931	-0.18826182	Yes	
row_30	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	1090	-0.5846691727638245	-0.16046406	Yes	
row_31	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	1158	-0.7766169905662537	-0.17675883	Yes	
row_32	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	1159	-0.7822903990745544	-0.13848099	Yes	
row_33	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1185	-0.8744989633560181	-0.11595069	Yes	
row_34	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1203	-0.9954615235328674	-0.08101864	Yes	
row_35	SLC9A3R1	SLC9A3 regulator 1 [Source:HGNC Symbol;Acc:HGNC:11075]	1235	-1.3089489936828613	-0.042092726	Yes	
row_36	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1240	-1.4233556985855103	0.024311226	Yes	
