NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	57	1.0691020488739014	0.015755268	Yes	
row_1	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	71	0.9887784123420715	0.06248672	Yes	
row_2	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	144	0.730023205280304	0.046461005	Yes	
row_3	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	229	0.53575599193573	0.009469145	Yes	
row_4	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	238	0.5175463557243347	0.03296127	Yes	
row_5	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	247	0.4941023588180542	0.05509581	Yes	
row_6	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	258	0.4765671193599701	0.074595496	Yes	
row_7	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	260	0.4725005030632019	0.10114714	Yes	
row_8	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	280	0.4493042826652527	0.11178065	Yes	
row_9	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	294	0.4337751567363739	0.1263732	Yes	
row_10	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	321	0.41502758860588074	0.12935382	Yes	
row_11	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	387	0.37059035897254944	0.09818223	No	
row_12	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	463	0.3280578553676605	0.05645052	No	
row_13	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	559	0.28761300444602966	-0.0038175816	No	
row_14	CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]	571	0.28211766481399536	0.003612288	No	
row_15	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	581	0.2784118950366974	0.012446998	No	
row_16	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	615	0.26676538586616516	0.0011740886	No	
row_17	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	638	0.26108723878860474	-0.0015207457	No	
row_18	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	653	0.25883540511131287	0.0021317543	No	
row_19	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	696	-0.25422900915145874	-0.017154556	No	
row_20	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	744	-0.2688548266887665	-0.0396425	No	
row_21	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	749	-0.2708832621574402	-0.027195174	No	
row_22	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	823	-0.30534833669662476	-0.0686225	No	
row_23	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	826	-0.30751803517341614	-0.052434307	No	
row_24	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	837	-0.3151506781578064	-0.04228186	No	
row_25	FBP2	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]	850	-0.32473137974739075	-0.03319405	No	
row_26	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	873	-0.3375251889228821	-0.03146255	No	
row_27	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	878	-0.3430946469306946	-0.014833634	No	
row_28	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	925	-0.3823358416557312	-0.029940452	No	
row_29	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	1044	-0.49811291694641113	-0.096642494	No	
row_30	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1053	-0.5100680589675903	-0.07358342	No	
row_31	ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	1102	-0.6133304834365845	-0.07693333	No	
row_32	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	1138	-0.7315943241119385	-0.06290855	No	
row_33	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1160	-0.7823366522789001	-0.034609377	No	
row_34	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	1169	-0.8133570551872253	0.006012426	No	
row_35	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	1233	-1.2944633960723877	0.029959522	No	
