NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	219	0.5463463664054871	-0.12701851	No	
row_1	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	228	0.5370261073112488	-0.08525924	No	
row_2	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	238	0.5175463557243347	-0.046051838	No	
row_3	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	321	0.41502758860588074	-0.07472565	No	
row_4	GLRX5	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	456	0.33133217692375183	-0.15271053	No	
row_5	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	617	0.2663023769855499	-0.2574312	No	
row_6	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	650	0.25917306542396545	-0.2598977	No	
row_7	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	685	0.25016888976097107	-0.26477996	Yes	
row_8	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	687	-0.25131332874298096	-0.24303216	Yes	
row_9	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	714	-0.26024314761161804	-0.24057952	Yes	
row_10	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	739	-0.26777830719947815	-0.23584297	Yes	
row_11	KLF3	Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]	747	-0.2706089913845062	-0.21718684	Yes	
row_12	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	752	-0.27164173126220703	-0.19602644	Yes	
row_13	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	774	-0.2803380489349365	-0.18775128	Yes	
row_14	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	792	-0.29136478900909424	-0.1752712	Yes	
row_15	BACH1	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]	811	-0.29978644847869873	-0.16283925	Yes	
row_16	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	880	-0.3436299264431	-0.18666594	Yes	
row_17	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	886	-0.34594762325286865	-0.15964155	Yes	
row_18	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	897	-0.3530513644218445	-0.135999	Yes	
row_19	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	926	-0.38265618681907654	-0.124169305	Yes	
row_20	MKRN1	makorin ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:7112]	929	-0.3859476149082184	-0.091143936	Yes	
row_21	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1010	-0.4575786292552948	-0.11439171	Yes	
row_22	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	1040	-0.49431514739990234	-0.09334614	Yes	
row_23	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	1041	-0.4945475459098816	-0.048967816	Yes	
row_24	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]	1042	-0.49532684683799744	-0.004519564	Yes	
row_25	MPP1	membrane palmitoylated protein 1 [Source:HGNC Symbol;Acc:HGNC:7219]	1168	-0.8102697134017944	-0.03229216	Yes	
row_26	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1231	-1.2646304368972778	0.031350475	Yes	
