NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	127	0.7750371694564819	-0.012839648	No	
row_1	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	264	0.4673498868942261	-0.06796525	No	
row_2	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	267	0.46598249673843384	-0.016388815	No	
row_3	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	284	0.44610700011253357	0.02175543	No	
row_4	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	416	0.35345879197120667	-0.042378563	No	
row_5	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	564	0.28465917706489563	-0.12712216	No	
row_6	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	886	-0.34594762325286865	-0.34362838	No	
row_7	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	944	-0.39616748690605164	-0.34387788	Yes	
row_8	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	993	-0.43178173899650574	-0.33288658	Yes	
row_9	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	1046	-0.4984593689441681	-0.31747675	Yes	
row_10	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1054	-0.5112994313240051	-0.26471666	Yes	
row_11	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	1058	-0.5173751711845398	-0.20807347	Yes	
row_12	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	1068	-0.529076337814331	-0.1548798	Yes	
row_13	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	1076	-0.5465545654296875	-0.09809686	Yes	
row_14	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1120	-0.671769380569458	-0.055734318	Yes	
row_15	MEP1A	meprin A subunit alpha [Source:HGNC Symbol;Acc:HGNC:7015]	1135	-0.7174587249755859	0.014967641	Yes	
row_16	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1164	-0.8053078055381775	0.08452942	Yes	
