NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	44	1.1072791814804077	0.07589833	Yes	
row_1	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	73	0.9840580224990845	0.15221204	Yes	
row_2	MYL7	myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719]	87	0.9318102598190308	0.23525876	Yes	
row_3	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	251	0.48880353569984436	0.15417762	No	
row_4	KLF5	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	302	0.4298070967197418	0.15736517	No	
row_5	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	372	0.38262930512428284	0.14065914	No	
row_6	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	409	0.356621652841568	0.14768241	No	
row_7	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	529	0.2991427779197693	0.08270192	No	
row_8	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	530	0.29805609583854675	0.112584546	No	
row_9	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	550	0.2909429669380188	0.12659042	No	
row_10	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	638	0.26108723878860474	0.08333325	No	
row_11	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	643	0.25995326042175293	0.106203414	No	
row_12	LDB3	LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]	697	-0.2559233605861664	0.08956339	No	
row_13	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	981	-0.4166356027126312	-0.094523326	No	
row_14	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	1058	-0.5173751711845398	-0.10330655	No	
row_15	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1120	-0.671769380569458	-0.08463918	No	
row_16	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	1148	-0.7577002048492432	-0.030221645	No	
row_17	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1231	-1.2646304368972778	0.031125257	No	
