NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	168	0.6433383226394653	-0.09801702	No	
row_1	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	169	0.6399480104446411	-0.060747623	No	
row_2	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	219	0.5463463664054871	-0.06844554	No	
row_3	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	259	0.47656387090682983	-0.072142944	No	
row_4	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	280	0.4493042826652527	-0.06210532	No	
row_5	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	301	0.42993804812431335	-0.053195547	No	
row_6	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	389	0.3702254295349121	-0.101795584	No	
row_7	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	422	0.35043081641197205	-0.10719359	No	
row_8	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	440	0.3387245833873749	-0.10117657	No	
row_9	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	607	0.2718659043312073	-0.21921456	No	
row_10	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	676	0.2538129687309265	-0.25927168	No	
row_11	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	766	-0.2765064537525177	-0.31494263	No	
row_12	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	768	-0.2773644030094147	-0.2995959	No	
row_13	SELENOW	selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]	779	-0.28404223918914795	-0.2911183	No	
row_14	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	786	-0.28831806778907776	-0.2791659	No	
row_15	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	809	-0.2991742789745331	-0.27948448	No	
row_16	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	886	-0.34594762325286865	-0.32062745	No	
row_17	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	982	-0.4169149100780487	-0.37295997	No	
row_18	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	1055	-0.5114495158195496	-0.40123862	Yes	
row_19	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	1092	-0.5859963297843933	-0.39614353	Yes	
row_20	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	1108	-0.6312536001205444	-0.37147725	Yes	
row_21	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1117	-0.6694633960723877	-0.33894053	Yes	
row_22	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	1124	-0.6817723512649536	-0.30407408	Yes	
row_23	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	1136	-0.7219915390014648	-0.27089757	Yes	
row_24	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	1141	-0.7421078681945801	-0.23090437	Yes	
row_25	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	1142	-0.7428931593894958	-0.18763964	Yes	
row_26	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	1145	-0.7532874941825867	-0.14538246	Yes	
row_27	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	1158	-0.7766169905662537	-0.10983113	Yes	
row_28	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1195	-0.9478849768638611	-0.083660305	Yes	
row_29	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	1224	-1.1827552318572998	-0.03735945	Yes	
row_30	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1231	-1.2646304368972778	0.031451594	Yes	
