NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	7	0.6831202507019043	0.01964055	No	
row_1	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	9	0.6761683225631714	0.05420562	No	
row_2	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	18	0.5820276141166687	0.065745994	No	
row_3	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	39	0.4574660658836365	0.039836716	No	
row_4	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	43	0.4448782503604889	0.056603815	No	
row_5	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	52	0.4243435859680176	0.05948863	No	
row_6	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	58	0.4147617816925049	0.06950055	No	
row_7	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]	72	0.3874936103820801	0.0576075	No	
row_8	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	83	0.37401294708251953	0.052627537	No	
row_9	ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	100	0.35688939690589905	0.03140151	No	
row_10	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	110	0.34612828493118286	0.027441926	No	
row_11	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	131	0.32674291729927063	-0.0056429766	No	
row_12	MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	166	0.3056003749370575	-0.07560272	No	
row_13	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	190	0.2894488275051117	-0.118387826	No	
row_14	SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]	216	0.2775038182735443	-0.16693065	No	
row_15	C15orf48	chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]	225	0.27344846725463867	-0.17232874	No	
row_16	SDCBP2	syndecan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15756]	263	0.2608254849910736	-0.25239933	No	
row_17	LRRC26	leucine rich repeat containing 26 [Source:HGNC Symbol;Acc:HGNC:31409]	330	-0.3051862418651581	-0.40401444	No	
row_18	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	341	-0.34466663002967834	-0.41060528	No	
row_19	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	363	-0.4184744656085968	-0.4412059	No	
row_20	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	373	-0.4509578347206116	-0.4394112	No	
row_21	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	397	-0.9995927810668945	-0.44321522	Yes	
row_22	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	401	-1.3992948532104492	-0.37405849	Yes	
row_23	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	406	-1.6440974473953247	-0.2940151	Yes	
row_24	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	411	-2.510745048522949	-0.16639991	Yes	
row_25	FCGBP	Fc fragment of IgG binding protein [Source:HGNC Symbol;Acc:HGNC:13572]	413	-3.2637853622436523	0.010204097	Yes	
