NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	0	1.811274766921997	0.028121596	No	
row_1	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3	1.3506386280059814	0.04607483	No	
row_2	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	6	1.0708757638931274	0.059684504	No	
row_3	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	16	0.8945969939231873	0.059999228	No	
row_4	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	22	0.7936760187149048	0.06478025	No	
row_5	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	28	0.7271065711975098	0.06852773	No	
row_6	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	43	0.6165744662284851	0.056984436	No	
row_7	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	47	0.595140814781189	0.06169962	No	
row_8	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	60	0.5550163388252258	0.052217178	No	
row_9	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	63	0.544617235660553	0.057656236	No	
row_10	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	65	0.539860725402832	0.06452975	No	
row_11	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	74	0.5113564133644104	0.060402624	No	
row_12	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	76	0.50267493724823	0.06669879	No	
row_13	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	90	0.4816640615463257	0.054569196	No	
row_14	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	92	0.4776814877986908	0.060477313	No	
row_15	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	110	0.44804179668426514	0.041792523	No	
row_16	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	155	0.39408618211746216	-0.018453961	No	
row_17	CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	171	0.36843791604042053	-0.035358083	No	
row_18	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	181	0.35898637771606445	-0.04335917	No	
row_19	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	210	0.33342283964157104	-0.08041477	No	
row_20	UBL5	ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]	247	0.3048492670059204	-0.12998037	No	
row_21	CORO2A	coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]	257	0.2962516248226166	-0.13895547	No	
row_22	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	261	0.29406967759132385	-0.13891467	No	
row_23	MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	267	0.2897450625896454	-0.14195761	No	
row_24	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	269	0.2896535098552704	-0.13896878	No	
row_25	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	286	0.2755010724067688	-0.15882413	No	
row_26	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	300	0.26674750447273254	-0.17429048	No	
row_27	ITPRID2	ITPR interacting domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11319]	310	0.2615624964237213	-0.18380417	No	
row_28	C9orf16	chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]	330	0.25507059693336487	-0.20850159	No	
row_29	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	331	0.2541920244693756	-0.20455503	No	
row_30	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	333	0.2540724575519562	-0.20211865	No	
row_31	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	338	0.2514447271823883	-0.20424794	No	
row_32	TMEM120A	transmembrane protein 120A [Source:HGNC Symbol;Acc:HGNC:21697]	360	-0.25618574023246765	-0.23194464	No	
row_33	SLC5A8	solute carrier family 5 member 8 [Source:HGNC Symbol;Acc:HGNC:19119]	364	-0.25780537724494934	-0.23246688	No	
row_34	SLC3A1	solute carrier family 3 member 1 [Source:HGNC Symbol;Acc:HGNC:11025]	399	-0.2724728286266327	-0.27951854	No	
row_35	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	400	-0.2729761004447937	-0.27528036	No	
row_36	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	409	-0.27869826555252075	-0.2830197	No	
row_37	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	411	-0.27976348996162415	-0.28018442	No	
row_38	MS4A8	membrane spanning 4-domains A8 [Source:HGNC Symbol;Acc:HGNC:13380]	420	-0.2838975787162781	-0.28784305	No	
row_39	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	424	-0.28481701016426086	-0.2879459	No	
row_40	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	427	-0.2854723632335663	-0.2865303	No	
row_41	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	436	-0.28682753443717957	-0.2941434	No	
row_42	GPT	glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]	440	-0.29030704498291016	-0.29416102	No	
row_43	SERHL2	serine hydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:29446]	441	-0.2903926968574524	-0.28965244	No	
row_44	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	443	-0.2906765639781952	-0.28664774	No	
row_45	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	444	-0.2920899987220764	-0.28211278	No	
row_46	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	456	-0.2984066605567932	-0.29407102	No	
row_47	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	459	-0.2998575270175934	-0.29243204	No	
row_48	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	466	-0.3036227822303772	-0.29676783	No	
row_49	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	468	-0.3037409484386444	-0.29356027	No	
row_50	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	484	-0.3123410940170288	-0.31133536	No	
row_51	SLC7A7	solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]	488	-0.31392353773117065	-0.3109863	No	
row_52	SLC26A3	solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018]	492	-0.31571313738822937	-0.31060946	No	
row_53	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	517	-0.33406004309654236	-0.341622	No	
row_54	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	522	-0.33916398882865906	-0.34238937	No	
row_55	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	532	-0.3544478714466095	-0.35046092	No	
row_56	CLIC5	chloride intracellular channel 5 [Source:HGNC Symbol;Acc:HGNC:13517]	533	-0.3551517724990845	-0.3449469	No	
row_57	SLC27A4	solute carrier family 27 member 4 [Source:HGNC Symbol;Acc:HGNC:10998]	536	-0.3570185899734497	-0.34242046	No	
row_58	TM6SF2	transmembrane 6 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11861]	541	-0.3589519262313843	-0.3428806	No	
row_59	GSDMC	gasdermin C [Source:HGNC Symbol;Acc:HGNC:7151]	543	-0.3594522476196289	-0.3388081	No	
row_60	CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	549	-0.36581969261169434	-0.3406699	No	
row_61	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	567	-0.37662452459335327	-0.36046353	No	
row_62	RNASE1	ribonuclease A family member 1, pancreatic [Source:HGNC Symbol;Acc:HGNC:10044]	568	-0.37663477659225464	-0.35461593	No	
row_63	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	570	-0.37885192036628723	-0.35024223	No	
row_64	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	571	-0.37922653555870056	-0.34435442	No	
row_65	FMO5	flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]	579	-0.391428679227829	-0.34883523	No	
row_66	ASPA	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]	596	-0.41442689299583435	-0.3665336	No	
row_67	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	621	-0.4598962366580963	-0.39559242	Yes	
row_68	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	622	-0.4644802510738373	-0.38838097	Yes	
row_69	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	625	-0.4694886803627014	-0.38410833	Yes	
row_70	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	629	-0.47486522793769836	-0.38126054	Yes	
row_71	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	630	-0.47617611289024353	-0.3738675	Yes	
row_72	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	639	-0.48985785245895386	-0.3783284	Yes	
row_73	AMN	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	650	-0.5134616494178772	-0.38543943	Yes	
row_74	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	654	-0.521809995174408	-0.38186276	Yes	
row_75	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	655	-0.5219672322273254	-0.37375876	Yes	
row_76	SLC15A1	solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]	658	-0.5236736536026001	-0.3686449	Yes	
row_77	MS4A10	membrane spanning 4-domains A10 [Source:HGNC Symbol;Acc:HGNC:13368]	659	-0.5316317081451416	-0.36039084	Yes	
row_78	HEPACAM2	HEPACAM family member 2 [Source:HGNC Symbol;Acc:HGNC:27364]	671	-0.5648849010467529	-0.36821178	Yes	
row_79	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	676	-0.5891218185424805	-0.36509833	Yes	
row_80	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	681	-0.6007741093635559	-0.36180398	Yes	
row_81	SLC9A3R1	SLC9A3 regulator 1 [Source:HGNC Symbol;Acc:HGNC:11075]	687	-0.6455308198928833	-0.35932305	Yes	
row_82	GNA11	G protein subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:4379]	688	-0.6494600772857666	-0.34923962	Yes	
row_83	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	698	-0.6840328574180603	-0.35219407	Yes	
row_84	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	699	-0.6857235431671143	-0.34154764	Yes	
row_85	MEP1B	meprin A subunit beta [Source:HGNC Symbol;Acc:HGNC:7020]	707	-0.7388652563095093	-0.3406342	Yes	
row_86	IFI27L2	interferon alpha inducible protein 27 like 2 [Source:HGNC Symbol;Acc:HGNC:19753]	708	-0.7439971566200256	-0.329083	Yes	
row_87	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	710	-0.7545823454856873	-0.31887576	Yes	
row_88	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	713	-0.783592700958252	-0.3097264	Yes	
row_89	SLC51B	solute carrier family 51 subunit beta [Source:HGNC Symbol;Acc:HGNC:29956]	718	-0.826988160610199	-0.30291986	Yes	
row_90	MTTP	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]	720	-0.8416233658790588	-0.29136124	Yes	
row_91	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	726	-0.8854303956031799	-0.28515565	Yes	
row_92	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]	728	-0.9095942378044128	-0.2725417	Yes	
row_93	ACE2	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	740	-1.0326404571533203	-0.27310035	Yes	
row_94	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	742	-1.1126315593719482	-0.25733408	Yes	
row_95	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	743	-1.1424281597137451	-0.23959689	Yes	
row_96	REG3A	regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]	746	-1.241577386856079	-0.22333694	Yes	
row_97	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	747	-1.2770800590515137	-0.20350917	Yes	
row_98	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	748	-1.315944790840149	-0.18307799	Yes	
row_99	REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	749	-1.324976921081543	-0.1625066	Yes	
row_100	SPINK1	serine peptidase inhibitor Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]	750	-1.347099781036377	-0.14159171	Yes	
