NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	6	1.471466302871704	0.01905557	Yes	
row_1	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	24	1.2545561790466309	0.025074545	Yes	
row_2	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	30	1.2233726978302002	0.04090729	Yes	
row_3	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	32	1.2022429704666138	0.0598346	Yes	
row_4	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	38	1.147323489189148	0.07441564	Yes	
row_5	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	41	1.1203359365463257	0.09113424	Yes	
row_6	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	45	1.0982520580291748	0.10662878	Yes	
row_7	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	50	1.0864256620407104	0.12106808	Yes	
row_8	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	54	1.0793747901916504	0.13625191	Yes	
row_9	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	55	1.0737359523773193	0.15392469	Yes	
row_10	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	68	1.007391333580017	0.16017847	Yes	
row_11	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	69	0.9985309839248657	0.17661344	Yes	
row_12	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	71	0.9887784123420715	0.1920273	Yes	
row_13	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	79	0.9606257677078247	0.2018143	Yes	
row_14	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	81	0.9529820680618286	0.21663898	Yes	
row_15	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	86	0.9320055842399597	0.22853665	Yes	
row_16	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	90	0.9193733930587769	0.241087	Yes	
row_17	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	92	0.9029716849327087	0.25508857	Yes	
row_18	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	99	0.8723971247673035	0.26428396	Yes	
row_19	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	100	0.8705358505249023	0.27861223	Yes	
row_20	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	113	0.8501664400100708	0.28227824	Yes	
row_21	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	114	0.8455861806869507	0.29619586	Yes	
row_22	SERBP1	SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]	115	0.843978226184845	0.31008703	Yes	
row_23	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	117	0.830453097820282	0.322895	Yes	
row_24	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	120	0.8163634538650513	0.33461046	Yes	
row_25	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	125	0.7919402718544006	0.3442028	Yes	
row_26	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	135	0.7475897669792175	0.3487622	Yes	
row_27	NHP2	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]	136	0.7434629201889038	0.36099896	Yes	
row_28	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	141	0.735998272895813	0.36967054	Yes	
row_29	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	146	0.7264919281005859	0.37818563	Yes	
row_30	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	151	0.69892418384552	0.38624698	Yes	
row_31	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	155	0.6890708804130554	0.39500675	Yes	
row_32	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	157	0.6856777667999268	0.40543184	Yes	
row_33	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	163	0.6483697295188904	0.41180053	Yes	
row_34	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	168	0.6433383226394653	0.41894698	Yes	
row_35	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	171	0.6254309415817261	0.42751986	Yes	
row_36	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	174	0.6203672289848328	0.4360094	Yes	
row_37	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	190	0.5847758650779724	0.43272555	Yes	
row_38	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	192	0.5818243026733398	0.4414413	Yes	
row_39	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	195	0.5781906247138977	0.44923666	Yes	
row_40	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	197	0.5748639106750488	0.45783785	Yes	
row_41	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	204	0.5599502325057983	0.46189064	Yes	
row_42	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	207	0.5564059019088745	0.46932742	Yes	
