NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	5	1.3375345468521118	0.09788909	Yes	
row_1	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	7	1.1506723165512085	0.18549553	Yes	
row_2	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	9	1.103035569190979	0.26943257	Yes	
row_3	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	22	0.7930747270584106	0.3181887	Yes	
row_4	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	29	0.721125066280365	0.36756915	Yes	
row_5	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	36	0.6586044430732727	0.41213375	Yes	
row_6	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	46	0.5843395590782166	0.4478946	Yes	
row_7	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	84	0.44241324067115784	0.44394615	Yes	
row_8	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	127	0.3799961805343628	0.43005112	Yes	
row_9	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	133	0.37080249190330505	0.45347458	Yes	
row_10	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	140	0.3645966649055481	0.4753923	Yes	
row_11	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	150	0.3516235053539276	0.49322748	Yes	
row_12	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	155	0.3397411108016968	0.51528615	Yes	
row_13	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	181	0.3056460916996002	0.51313573	Yes	
row_14	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	191	0.2961486577987671	0.5266978	Yes	
row_15	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	221	0.2731231153011322	0.5179312	Yes	
row_16	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	226	0.2656763792037964	0.53428483	Yes	
row_17	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	244	0.25199994444847107	0.5362242	Yes	
row_18	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	546	-0.35028955340385437	0.2538538	No	
row_19	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	662	-0.4262417256832123	0.16849525	No	
row_20	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	675	-0.43147900700569153	0.1893983	No	
row_21	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	745	-0.4862918257713318	0.15594177	No	
row_22	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	848	-0.6162980198860168	0.09858365	No	
row_23	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	890	-0.6815101504325867	0.10894141	No	
